pageno	times	org1	pdept	bgtyy	org	item	srcid	workid	obj	seq	sexual	sextitle	sexamt	sexlamt	stdcd	una1	cqty1	una2	cqty2	una3	cqty3	una4	cqty4	pqty	prc	preamt	amt	lawamt	lamt	amt1	amt2	note	udept	ocd1	ocd2	mcd	acd	kort	eno	pmnote	bystd	statcd	bybase	newitem	sno	hticode	pticode	mticode	scode	sysdat	usno
1-1-58	0	01101		102	01101	2	117104000		0306	006			0	0		臺	2		0		0		0	2.00	360000	720000	720000	720000	105000	0	0	汰換伺服器。									0	355	310	1	0005				0018	1010828	BGT
2-19-61	0	02129		102	02129	2	137104000		0306	004			0	0		部	1		0		0		0	1.00	71500	167400	71500	71500	0	0	0	伺服器。									0	355	310	0	0005	0	0	0	0018	1010720	BGT
3-1-109	0	03101		102	03101	2	137104000		0306	002			0	0	0314	臺	5		0		0		0	5.00	71500	429000	357500	357500	868800	0	0	汰換戶所低階伺服器(大同(1臺)、中山(1臺)、中正(1臺)、文山(1臺)、北投(1臺))。									1	355	310	0	0002				0018	1010813	BGT
3-1-109	0	03101		102	03101	2	137104000		0306	005			0	0	0308	部	3		0		0		0	3.00	167400	502200	502200	502200	0	0	0	汰換本局中階資料庫伺服器。									1	355	310	0	0005	0	0	0	0018	1010430	BGT
4-2-95	0	04102		102	04102	2	140205002		0306	010			0	0		部	2		0		0		0	2.00	330500	661000	661000	661000	0	0	0	汰換高階伺服器。								95年購置之2部資料庫伺服器IBM xseries 366(欠稅、稅單及繳款書影像資料庫與測試資料庫)，因效能不足已不符系統使用需求且屆汰換年限，汰換該設備，以強化系統服務品質。	0	355	310	0	0047				0018	1010828	BGT
4-2-95	0	04102		102	04102	2	140205002		0306	011			0	0		部	2		0		0		0	2.00	167400	334800	334800	334800	0	0	0	汰換中階伺服器。								95年購置之2部AP伺服器IBM xseries 346 (欠稅、稅單及繳款書影像伺服器、內網備份主機)、1部中階伺服器IBM eServer xSeries x226(外網IPSCAN系統)，因效能不足已不符系統使用需求且屆汰換年限，汰換該設備，以強化系統服務品質。資訊處核予減列1台，減列金額167,400元。	0	355	310	0	0048				0018	1010828	BGT
4-2-96	0	04102		102	04102	2	140205002		0306	012			0	0		部	4		0		0		0	4.00	71500	286000	286000	286000	0	0	0	汰換低階伺服器。								95年購置之5部1U超薄型伺服器IBM eServer e326m(主機資源分析管理系統、內網校時主機、行政管理知識庫主機、NetInsight外部網路流量管理系統、NetInsight內部網路流量管理系統、線上表單申請系統測試機)，已屆汰換年限且速度緩慢，影響服務品質，亟需汰換。資訊處核予減列1台，減列金額71,500元。	0	355	310	0	0049				0018	1010828	BGT
6-3-62	0	06103		102	06103	2	317104000		0306	004			0	0		部	1		0		0		0	1.00	71500	71500	71500	71500	0	0	0	汰換網路伺服器。								依標準編列。102年汰換低階伺服器。	0	355	310	0	0004				0018	1010814	BGT
7-3-85	0	07103		102	07103	2	337104000		0306	002			0	0		部	1		0		0		0	1.00	167400	502200	167400	167400	165000	0	0	汰換伺服器。								核實增列。	0	355	310	0	0006				0018	1010828	BGT
8-1-82	0	08101		102	08101	2	337104000		0306	003			0	0	0308	臺	1		0		0		0	1.00	167400	502200	167400	167400	166900	0	0	更新機房伺服器。								依本府編列基準編列	0	355	310	0	0003				0018	1020221	BGT
8-3-69	0	08104		102	08104	2	337104000		0306	004			0	0		部	2		0		0		0	2.00	167400	334800	334800	334800	0	0	0	汰換及新增(備援)GIS伺服器-中階。								已逾使用年限		355	310	1	0008	0	0	0	0018	1020221	BGT
8-3-69	0	08104		102	08104	2	337104000		0306	005			0	0		部	2		0		0		0	2.00	71500	143000	143000	143000	0	0	0	汰換伺服器-低階。								已逾使用年限		355	310	1	0009	0	0	0	0018	1020221	BGT
8-4-113	0	08105		102	08105	2	337104000		0306	005			0	0		式	1		0		0		0	1.00	2348082	2371800	2348082	2348082	1399173	0	0	汰換及擴充公車動態資訊系統監控中心伺服器及軟體更新。								因應公車動態資訊系統使用量以及民間業者介接量大幅成長，辦理汰換老舊且已屆使用年限之伺服器，確保系統穩定性。	0	355	310	1	0007				0018	1011211	BGT
9-1-195	0	09101		102	09101	2	437104000		0306	004			0	0	0308	部	2		0		0		0	2.00	167150	334800	334300	334300	333800	0	0	中階伺服器。									0	355	310	0	0004				0018	1010718	BGT
10-1-88	0	10101		102	10101	2	437104000		0306	005			0	0	0308	部	1		0		0		0	1.00	167400	167400	167400	167400	166900	0	0	中階伺服器。								依資訊處標準編列	1	355	310	0	0006				0018	1010427	BGT
10-1-88	0	10101		102	10101	2	437104000		0306	006			0	0		部	1		0		0		0	1.00	167400	167400	167400	167400	0	0	0	臺北好young伺服器。								臺北好young作業系統及資料庫伺服器	0	355	310	0	0007	0	0	0	0018	1010921	BGT
10-4-46	0	10105		102	10105	2	437104000		0306	003			0	0	0314	部	1		0		0		0	1.00	71500	143000	71500	71500	333800	0	0	低階伺服器(含作業系統及資料庫系統，勞工安全衛生教育訓練資訊服務平臺建置計畫)。								低階伺服器備援勞工安全衛生教育訓練資訊服務平台。	1	355	310	0	0006				0018	1010710	BGT
12-1-183	0	12101		102	12101	2	457104000		0306	004			0	0		部	5		0		0		0	5.00	167400	837000	837000	837000	667600	0	0	中階伺服器。									0	355	310	0	0014				0018	1010815	BGT
13-4-52	0	13104		102	13104	2	527104000		0306	004			0	0	0314	部	1		0		0		0	1.00	71500	167400	71500	71500	0	0	0	汰換伺服器。								依本府102年度編列標準核實編列汰換94年度購伺服器。	1	355	310	0	0007				0018	1010720	BGT
14-1-76	0	14101		102	14101	2	347104000		0306	004			0	0		部	1		0		0		0	1.00	167400	334800	167400	167400	166900	0	0	汰換中階伺服器。								核實增列	0	355	310	1	0004				0018	1010828	BGT
14-1-76	0	14101		102	14101	2	347104000		0306	006			0	0		部	1		0		0		0	1.00	71500	71500	71500	71500	72400	0	0	汰換低階伺服器。								核實減列	0	355	310	1	0005				0018	1010828	BGT
14-2-32	0	14102		102	14102	2	347104000		0306	004			0	0		部	2		0		0		0	2.00	167400	837000	334800	334800	0	0	0	汰換中階伺服器。								依標準核實增列	0	355	310	0	0005	0	0	0	0018	1010828	BGT
14-2-32	0	14102		102	14102	2	347104000		0306	005			0	0		部	1		0		0		0	1.00	330500	330500	330500	330500	0	0	0	汰換高階伺服器。								依標準核實增列	0	355	310	0	0006	0	0	0	0018	1010828	BGT
15-1-109	0	15101		102	15101	2	227104000		0306	010			0	0		部	1		0		0		0	1.00	71500	167400	71500	71500	0	0	0	汰換伺服器。									0	355	310	0	0010	0	0	0	0018	1010831	BGT
15-4-66	0	15104		102	15104	2	227104000		0306	004			0	0		部	1		0		0		0	1.00	334800	334800	334800	334800	240000	0	0	汰換伺服主機。									0	355	310	1	0004				0018	1010903	BGT
16-1-158	0	16101		102	16101	2	137104700		0306	005			0	0	0308	部	2		0		0		0	2.00	167400	334800	334800	334800	0	0	0	汰換網路服務伺服器。								電腦專案	1	355	310	0	0056				0018	1010501	BGT
17-1-61	0	17101		102	17101	2	327104000		0306	002			0	0		部	2		0		0		0	2.00	167400	334800	334800	334800	0	0	0	中階伺服器。									0	355	310	0	0011	0	0	0	0018	1010828	BGT
19-8-44	0	19116		102	19116	2	137104000		0306	003			0	0		部	1		0		0		0	1.00	167400	167400	167400	167400	166900	0	0	汰換伺服器。									0	355	310	0	0003				0018	1010814	BGT
