pageno	times	org1	pdept	bgtyy	org	item	srcid	workid	obj	seq	sexual	sextitle	sexamt	sexlamt	stdcd	una1	cqty1	una2	cqty2	una3	cqty3	una4	cqty4	pqty	prc	preamt	amt	lawamt	lamt	amt1	amt2	note	udept	ocd1	ocd2	mcd	acd	kort	eno	pmnote	bystd	statcd	bybase	newitem	sno	hticode	pticode	mticode	scode	sysdat	usno
2-1-71	0	02101		102	02101	2	127104000		0306	002			0	0		年	1		0		0		0	1.00	30000	30000	30000	30000	30000	0	0	電腦套裝軟體。									0	357	310	1	0002				0010	1010427	BGT
2-2-52	0	02102		102	02102	2	127104000		0306	003			0	0		年	1		0		0		0	1.00	40000	40000	40000	40000	16000	0	0	套裝軟體。								核實增列。	0	357	310	0	0005				0010	1010327	BGT
2-4-53	0	02104		102	02104	2	127104000		0306	003			0	0		年	1		0		0		0	1.00	200000	200000	200000	200000	200000	0	0	電腦套裝軟體。									0	357	310	0	0003				0010	1010628	BGT
2-4-53	0	02104		102	02104	2	127104000		0306	008			0	0		式	1		0		0		0	1.00	2399000	2399000	2399000	2399000	0	0	0	人事系統效能監控、防護及敏感資料資安管理軟體。									0	357	310	1	0005	0	0	0	0010	1010726	BGT
2-5-39	0	02105		102	02105	2	127104000		0306	003			0	0		年	1		0		0		0	1.00	57959	57959	57959	57959	69407	0	0	電腦套裝軟體。									0	357	310	0	0003				0010	1010427	BGT
2-6-45	0	02106		102	02106	2	217104000		0306	004			0	0		年	1		0		0		0	1.00	200000	200000	200000	200000	200000	0	0	電腦套裝軟體。									0	357	310	1	0003				0010	1010828	BGT
2-11-52	0	02121		102	02121	2	137104000		0306	005			0	0		年	1		0		0		0	1.00	100000	100000	100000	100000	100000	0	0	套裝軟體。									0	357	310	0	0003				0010	1010814	BGT
2-12-55	0	02122		102	02122	2	137104000		0306	003			0	0		年	1		0		0		0	1.00	77340	637332	77340	77340	248168	0	0	套裝軟體。									0	357	310	0	0004				0010	1010814	BGT
2-13-55	0	02123		102	02123	2	137104000		0306	003			0	0		年	1		0		0		0	1.00	119950	119950	119950	119950	68871	0	0	套裝軟體(電腦專案)。								依實際業務需要按資訊處編列基準增列。	0	357	310	0	0004				0010	1010503	BGT
2-14-67	0	02124		102	02124	2	137104000		0306	003			0	0		年	1		0		0		0	1.00	90000	90000	90000	90000	90000	0	0	套裝軟體。									0	357	310	0	0004				0010	1010509	BGT
2-15-53	0	02125		102	02125	2	137104000		0306	003			0	0		年	1		0		0		0	1.00	70000	70000	70000	70000	70000	0	0	套裝軟體。									0	357	310	0	0004				0010	1010814	BGT
2-16-54	0	02126		102	02126	2	137104000		0306	003			0	0		年	1		0		0		0	1.00	180000	180000	180000	180000	180000	0	0	套裝軟體。									0	357	310	0	0004				0010	1010814	BGT
2-17-60	0	02127		102	02127	2	137104000		0306	003			0	0		年	1		0		0		0	1.00	220000	220000	220000	220000	225000	0	0	套裝軟體。									0	357	310	0	0003				0010	1010814	BGT
2-18-65	0	02128		102	02128	2	137104000		0306	003			0	0		年	1		0		0		0	1.00	60000	60000	60000	60000	60000	0	0	套裝軟體(電腦專案)。									0	357	310	0	0004				0010	1010814	BGT
2-19-61	0	02129		102	02129	2	137104000		0306	003			0	0		年	1		0		0		0	1.00	62600	62600	62600	62600	60000	0	0	套裝軟體。									0	357	310	0	0004				0010	1010501	BGT
2-20-59	0	02130		102	02130	2	137104000		0306	001			0	0		年	1		0		0		0	1.00	100000	100000	100000	100000	100000	0	0	套裝軟體。									0	357	310	0	0001				0010	1010814	BGT
2-21-62	0	02131		102	02131	2	137104000		0306	003			0	0		年	1		0		0		0	1.00	100000	100000	100000	100000	100000	0	0	套裝軟體。									0	357	310	0	0004				0010	1010814	BGT
2-22-59	0	02132		102	02132	2	137104000		0306	002			0	0		年	1		0		0		0	1.00	77000	77000	77000	77000	100000	0	0	套裝軟體。									0	357	310	0	0007				0010	1010430	BGT
3-3-89	0	03103		102	03103	2	227104000		0306	003			0	0		年	1		0		0		0	1.00	151946	151946	151946	151946	150000	0	0	套裝軟體。								業務需要覈實增列	0	357	310	0	0003				0010	1010505	BGT
3-4-40	0	03111		102	03111	2	137104000		0306	003			0	0		年	1		0		0		0	1.00	50000	50000	50000	50000	53040	0	0	套裝軟體。									0	357	310	0	0003				0010	1010508	BGT
3-5-38	0	03112		102	03112	2	137104000		0306	003			0	0		年	1		0		0		0	1.00	51000	51000	51000	51000	51780	0	0	套裝軟體。								核實減列	0	357	310	0	0003				0010	1010511	BGT
3-6-39	0	03113		102	03113	2	137104000		0306	003			0	0		年	1		0		0		0	1.00	100000	100000	100000	100000	68320	0	0	套裝軟體。								核實編列。	0	357	310	0	0003				0010	1010508	BGT
3-7-38	0	03114		102	03114	2	137104000		0306	003			0	0		年	1		0		0		0	1.00	119818	119818	119818	119818	124478	0	0	套裝軟體。									0	357	310	0	0003				0010	1010508	BGT
3-8-40	0	03115		102	03115	2	137104000		0306	003			0	0		年	1		0		0		0	1.00	60000	60000	60000	60000	60000	0	0	套裝軟體。　　　　　　									0	357	310	0	0003				0010	1010429	BGT
3-9-37	0	03116		102	03116	2	137104000		0306	007			0	0		年	1		0		0		0	1.00	50000	50000	50000	50000	50000	0	0	套裝軟體。									0	357	310	0	0004				0010	1010816	BGT
3-10-35	0	03121		102	03121	2	137104000		0306	003			0	0		年	1		0		0		0	1.00	65000	65000	65000	65000	65000	0	0	套裝軟體。									0	357	310	0	0003				0010	1010508	BGT
3-11-38	0	03122		102	03122	2	137104000		0306	003			0	0		年	1		0		0		0	1.00	90000	90000	90000	90000	70570	0	0	套裝軟體。								核實增列。	0	357	310	0	0003				0010	1010504	BGT
3-12-38	0	03123		102	03123	2	137104000		0306	003			0	0		年	1		0		0		0	1.00	21000	21000	21000	21000	21590	0	0	套裝軟體。									0	357	310	0	0003				0010	1010508	BGT
3-13-35	0	03124		102	03124	2	137104000		0306	003			0	0		年	1		0		0		0	1.00	43779	43779	43779	43779	35480	0	0	套裝軟體。									0	357	310	0	0003				0010	1010508	BGT
3-14-40	0	03125		102	03125	2	137104000		0306	003			0	0		年	1		0		0		0	1.00	31878	31878	31878	31878	65431	0	0	套裝軟體。								依標準核實編列	0	357	310	0	0003				0010	1010506	BGT
