pageno	times	org1	pdept	bgtyy	org	item	srcid	workid	obj	seq	sexual	sextitle	sexamt	sexlamt	stdcd	una1	cqty1	una2	cqty2	una3	cqty3	una4	cqty4	pqty	prc	preamt	amt	lawamt	lamt	amt1	amt2	note	udept	ocd1	ocd2	mcd	acd	kort	eno	pmnote	bystd	statcd	bybase	newitem	sno	hticode	pticode	mticode	scode	man	sysdat	usno
2-11-58	0	02121		105	02121	2	137103000		0305	001			0	0		輛	1		0		0		0	1.00	63000	63000	63000	0	0	0	0	購置重型公務機車（新增）。									0	351	321	1	0001					簡聿悊	1040723	BGT
7-3-93	0	07103		105	07103	2	337103000		0305	006			0	0		輛	2		0		0		0	2.00	550000	1100000	1100000	0	0	0	0	新購客貨兩用車。								依本府「105年度計畫及預算審查委員會新購、汰換及租賃車輛專案小組」審查結果編列。	0	350	321	1	0001	0	0	0	0022	曾俊傑	1040723	BGT
8-3-55	0	08104		105	08104	2	337103000		0305	003			0	0	0214	輛	1		0		0		0	1.00	550000	550000	550000	0	0	0	0	新購客貨兩用車(5人座)。									1	350	321	0	0001	0	0	0		黃正煌	1040724	BGT
11-1-17-35	0	11142		105	11101	2	717103000		0305	001	'		0	0		輛	1		0		0		0	1.00	3060000	0	3060000	0	0	0	0	新購M化偵查車。								業務單位辦案蒐證需求，核實新增。		352	321	0	0001	0	0	0		吳坤財	1040727	BGT
12-1-165	0	12101		105	12101	2	457103000		0305	002			0	0	0214	輛	2		0		0		0	2.00	550000	1100000	1100000	1100000	1100000	0	0	新購客貨兩用車（5人座自排）。								105年擬改以增購客貨兩用車（5人座自排）2台使用。	1	350	321	0	0001				0023	楊嬿菁	1040727	BGT
16-1-121	0	16101		105	16101	2	137103000		0305	010			0	0		輛	4		0		0		0	4.00	3500000	14000000	14000000	0	0	0	0	新購器材運輸車4輛。								運送前進指揮所相關器材設備，各大隊1輛。	0	352	321	0	0004	0	0	0	0023	劉廣正	1040501	BGT
16-1-122	0	16101		105	16101	2	137103000		0305	015			0	0		輛	2		0		0		0	2.00	3500000	0	7000000	0	0	0	0	新購大量傷病患器材車2輛。								運送前進指揮所相關器材設備，各大隊1輛。	0	352	321	0	0009	0	0	0	0023	劉奎佑	1040727	BGT
