bgtyy	bkind	keyid	keyna	bgtstat
106	2	0001	統籌業務費	D
106	2	0002	特別費	D
106	2	0003	車輛油料費	D
106	2	0004	文康活動費	D
106	2	0005	加班值班費	D
106	2	0007	影印機使用費	D
106	2	0008	國外旅費	D
106	2	0009	資訊服務費	D
106	2	0010	汰換車輛設備	D
106	2	0011	新購車輛設備	D
106	2	0012	研究計畫	D
106	2	0013	災害防救計畫-經常門	D
106	2	0014	災害防救計畫-資本門	D
106	2	0016	水電費	D
106	2	0017	電腦耗材及維修	D
106	2	0018	資訊軟硬體設備費	D
106	2	0015	替代役役男上下班交通費	D
106	2	0006	員工上下班交通費(不含替代役)	D
