bgtyy	bkind	keyid	keyna	bgtstat
103	2	0001	統籌業務費	L
103	2	0002	特別費	L
103	2	0004	文康活動費	L
103	2	0005	加班費	L
103	2	0006	值班費	L
103	2	0007	員工上下班交通費	L
