pageno	times	org1	pdept	bgtyy	org	item	srcid	workid	obj	seq	sexual	sextitle	sexamt	sexlamt	stdcd	una1	cqty1	una2	cqty2	una3	cqty3	una4	cqty4	pqty	prc	preamt	amt	lawamt	lamt	amt1	amt2	note	udept	ocd1	ocd2	mcd	acd	kort	eno	pmnote	bystd	statcd	bybase	newitem	sno	hticode	pticode	mticode	sysdat	usno
2-1-68	0	02101		101	02101	2	127104000		0306	003			0	0		年	1		0		0		0	1.00	2400	2400	2400	2400	2400	0	0										0	357	310	1	0003				1001124	BGT
2-3-59	0	02103		101	02103	2	127104000		0307	001			0	0		年	1		0		0		0		20400	20400	20400	20400	20400	0	0									依基準編列	0	360	310	0	0007				1000505	BGT
2-4-52	0	02104		101	02104	2	127104000		0307	001			0	0		年	1		0		0		0	1.00	24000	24000	24000	24000	24000	0	0										0	360	310	0	0007				1000719	BGT
2-5-39	0	02105		101	02105	2	127104000		0307	001			0	0		年	1		0		0		0		2400	2400	2400	2400	2400	0	0										0	360	310	0	0004				1000331	BGT
2-6-43	0	02106		101	02106	2	217104000		0307	001			0	0		年	1		0		0		0		4800	4800	4800	4800	4800	0	0										0	360	310	0	0005				1000422	BGT
2-7-54	0	02107		101	02107	2	127104004		0307	001			0	0		年	1		0		0		0	1.00	75000	75000	75000	75000	95760	0	0										0	360	310	0	0012				1000506	BGT
2-14-51	0	02121		101	02121	2	137104000		0307	001			0	0		年	1		0		0		0		2400	2400	2400	2400	2400	0	0										0	360	310	0	0008				1000330	BGT
2-15-52	0	02122		101	02122	2	137104000		0307	001			0	0		年	1		0		0		0	1.00	2400	6000	2400	2400	3600	0	0										0	360	310	0	0005				1000719	BGT
2-16-53	0	02123		101	02123	2	137104000		0307	002			0	0		年	1		0		0		0	1.00	2400	2400	2400	2400	2400	0	0									依標準減列。	0	360	310	0	0006				1000722	BGT
2-17-62	0	02124		101	02124	2	137104000		0307	001			0	0		年	1		0		0		0	1.00	2400	2400	2400	2400	2400	0	0										0	360	310	1	0005				1000503	BGT
2-18-51	0	02125		101	02125	2	137104000		0307	001			0	0		年	1		0		0		0		4000	4000	4000	4000	4000	0	0										0	360	310	0	0005				1000414	BGT
2-19-51	0	02126		101	02126	2	137104000		0307	001			0	0		年	1		0		0		0	1.00	2400	2400	2400	2400	2400	0	0										0	360	310	0	0006				1000514	BGT
2-20-56	0	02127		101	02127	2	137104000		0307	001			0	0		年	1		0		0		0		2400	2400	2400	2400	2400	0	0										0	360	310	0	0005				1000324	BGT
2-21-66	0	02128		101	02128	2	137104000		0307	001			0	0		年	1		0		0		0		2400	2400	2400	2400	2400	0	0										0	360	310	0	0008				1000304	BGT
2-22-54	0	02129		101	02129	2	137104000		0307	001			0	0		年	1		0		0		0		4800	4800	4800	4800	4800	0	0										0	360	310	0	0005				1000404	BGT
2-23-58	0	02130		101	02130	2	137104000		0307	001			0	0		年	1		0		0		0		2400	2400	2400	2400	2400	0	0											360	310	0	0004				1000309	BGT
2-24-58	0	02131		101	02131	2	137104000		0307	001			0	0		年	1		0		0		0	1.00	2400	2400	2400	2400	2400	0	0											360	310	0	0005				1000503	BGT
2-25-56	0	02132		101	02132	2	137104000		0307	001			0	0		年	1	人	1		0		0		2400	2400	2400	2400	2400	0	0										0	360	310	0	0010				1000323	BGT
3-1-113	0	03101		101	03101	2	137104000		0307	001			0	0		年	1		0		0		0		20400	20400	20400	20400	20400	0	0										0	360	310	0	0007				1000222	BGT
3-3-87	0	03103		101	03103	2	227104000		0307	001			0	0		式	1		0		0		0		3600	3600	3600	3600	3600	0	0										0	360	310	0	0008				1000505	BGT
4-1-117	0	04101		101	04101	2	140208020		0307	001			0	0		年	1		0		0		0	1.00	25200	25200	25200	25200	25200	0	0										0	360	310	0	0028				1000411	BGT
4-2-101	0	04102		101	04102	2	140205002		0307	002			0	0		年	1		0		0		0	1.00	50400	50400	50400	50400	0	0	0									購買相關電腦資訊書籍以吸收新知，依標準編列，12,000元+32人×1,200元=50,400元		360	310	0	0047				1000316	BGT
5-2-126	0	05112		101	05112	2	227104002		0307	001			0	0		年	1		0		0		0		7500	7500	7500	7500	7500	0	0											360	310	0	0008				1000222	BGT
5-3-128	0	05113		101	05113	2	227104000		0307	006			0	0		年	1		0		0		0		2400	2400	2400	2400	2400	0	0											360	310	0	0025				1000430	BGT
5-5-76	0	05115		101	05115	2	227104000		0307	001			0	0	0311	年	1		0		0		0	1.00	1200	1200	1200	1200	1200	0	0									待專案核可	0	360	260	0	0006				1000512	BGT
6-1-128	0	06101		101	06101	2	317104000		0307	001			0	0		年	1		0		0		0		18000	18000	18000	18000	18000	0	0										0	360	310	0	0006				1000111	BGT
