pageno	times	org1	pdept	bgtyy	org	item	srcid	workid	obj	seq	sexual	sextitle	sexamt	sexlamt	stdcd	una1	cqty1	una2	cqty2	una3	cqty3	una4	cqty4	pqty	prc	preamt	amt	lawamt	lamt	amt1	amt2	note	udept	ocd1	ocd2	mcd	acd	kort	eno	pmnote	bystd	statcd	bybase	newitem	sno	hticode	pticode	mticode	sysdat	usno
2-5-36	0	02105		101	02105	1	120401007		0216	001			0	0		案	1		0		0		0	1.00	800000	800000	800000	800000	800000	0	0										0	253	330	0	0031				1000505	BGT
2-6-36	0	02106		101	02106	1	212601003		0216	001			0	0		年	1		0		0		0	1.00	150000	300000	150000	150000	300000	0	0										0	253	330	0	0044				1000713	BGT
2-8-30	0	02108		101	02108	1	120201002		0216	001			0	0		年	1		0		0		0	1.00	4750000	4750000	4750000	4750000	4750000	0	0										0	253	330	0	0015				1000323	BGT
2-10-35	0	02110		101	02110	1	120201002		0216	003			0	0		式	1		0		0		0	1.00	472000	472000	472000	472000	0	0	0									依業務需求核實編列	0	253	330	1	0024	0	0	0	1000824	BGT
2-12-43	0	02112		101	02112	1	130301006		0220	003			0	0		式	1		0		0		0	1.00	600000	900000	600000	600000	0	0	0										0	259	330	1	0059	0	0	0	1000801	BGT
3-1-101	0	03101		101	03101	1	130601002		0216	005			0	0		式	1		0		0		0	1.00	800000	1600000	800000	800000	0	0	0									研究建立同志權益保障制度，以積極營造友善同志環境。	0	253	330	1	0012	0	0	0	1000704	BGT
4-2-71	0	04102		101	04102	1	140101006		0220	007			0	0		篇	1		0		0		0	1.00	54500	109000	54500	54500	218000	0	0									研究報告篇數減少3篇		261	330	0	0110				1000722	BGT
5-2-40	0	05112		101	05112	1	220101018		0214	001			0	0		人	2	日	5		0		0	2.00×5.00	1000	10000	10000	10000	0	0	0										0	243	330	1	0092	0	0	0	1000411	BGT
5-2-41	0	05112		101	05112	1	220101018		0220	001			0	0		本	100		0		0		0	100.00	200	20000	20000	20000	0	0	0										0	261	330	1	0093	0	0	0	1000822	BGT
5-2-41	0	05112		101	05112	1	220101018		0220	002			0	0		份	1000		0		0		0	1000.00	25	25000	25000	25000	0	0	0										0	261	330	1	0094	0	0	0	1000822	BGT
5-2-41	0	05112		101	05112	1	220101018		0220	003			0	0		次	20		0		0		0	20.00	1000	20000	20000	20000	0	0	0										0	261	330	1	0095	0	0	0	1000822	BGT
5-2-41	0	05112		101	05112	1	220101018		0220	004			0	0		次	5		0		0		0	5.00	1000	5000	5000	5000	0	0	0										0	272	330	1	0096	0	0	0	1000411	BGT
5-3-61	0	05113		101	05113	1	220201037		0215	001			0	0		年	1		0		0		0	1.00	302100	302100	302100	302100	0	0	0										0	249	330	1	0112				1000501	BGT
5-3-62	0	05113		101	05113	1	220201037		0215	002			0	0		年	1		0		0		0	1.00	10500	10500	10500	10500	0	0	0										0	249	330	1	0113	0	0	0	1000511	BGT
5-3-62	0	05113		101	05113	1	220201037		0220	001			0	0		年	1		0		0		0	1.00	10000	10000	10000	10000	0	0	0										0	272	330	1	0114	0	0	0	1000430	BGT
5-3-61	0	05113		101	05113	1	220201038		0215	001			0	0		年	1		0		0		0	1.00	100000	100000	100000	100000	0	0	0										0	249	330	1	0108	0	0	0	1000804	BGT
5-3-61	0	05113		101	05113	1	220201038		0220	001			0	0		年	1		0		0		0	1.00	11010	11010	11010	11010	0	0	0										0	272	330	1	0109	0	0	0	1000804	BGT
5-3-61	0	05113		101	05113	1	220201038		0232	001			0	0		人	2	天	75		0		0	2.00×75.00	1200	180000	180000	180000	0	0	0										0	292	330	1	0110				1000808	BGT
