bgtyy	srcid	srcna	srcbr	sysdat	usno
100	000100000	一般行政	一般行政		
100	000101000	行政管理	行政管理		
100	002300000	地籍管理	地籍管理		
100	002301000	土地登記測量管理	土地登記測量管理		
100	002302000	地籍登記測量及管理	地籍登記測量及管理		
100	002303000	地籍測量	地籍測量		
100	002500000	衛生業務	衛生業務		
100	002501000	公共衛生	公共衛生		
100	002600000	訓練業務	訓練業務		
100	002601000	在職訓練	在職訓練		
100	002602000	在職研習	在職研習		
100	002700000	兒童托養業務	兒童托養業務		
100	002701000	兒童調查及管理	兒童調查及管理		
100	002800000	區政業務	區政業務		
100	002801000	區政管理	區政管理		
100	003200000	戶政業務	戶政業務		
100	003201000	戶籍業務	戶籍業務		
100	003202000	戶籍登記及管理	戶籍登記及管理		
100	003300000	垃圾焚化業務	垃圾焚化業務		
100	003301000	焚化規劃及操作	焚化規劃及操作		
100	003400000	公共關係業務	公共關係業務		
100	003401000	公共關係	公共關係		
100	003500000	院民教養	院民教養		
100	003501000	院民社會工作	院民社會工作		
100	003504000	敬老所管理	敬老所管理		
100	003600000	保健醫療業務	保健醫療業務		
100	003601000	保健醫療	保健醫療		
100	003700000	債務付息	債務付息		
100	003701000	債務付息	債務付息		
100	003800000	債務管理	債務管理		
100	003801000	債務管理	債務管理		
100	003900000	接受補助業務支出	接受補助業務支出		
100	003901000	接受中央政府補助業務支出	接受中央政府補助業務支出		
100	003902000	接受中央各部會補助業務支出	接受中央各部會補助業務支出		
100	004100000	第一預備金	第一預備金		
100	004101000	第一預備金	第一預備金		
100	004200000	公務人員退休及撫卹給付	公務人員退休及撫卹給付		
100	004201000	公務人員退休及撫卹給付	公務人員退休及撫卹給付		
100	004300000	公務人員福利互助補助	公務人員福利互助補助		
100	004301000	公務人員福利互助補助	公務人員福利互助補助		
100	004400000	公務人員(工)待遇準備	公務人員(工)待遇準備		
100	004401000	公務人員(工)待遇準備	公務人員(工)待遇準備		
100	004900000	國家賠償金	國家賠償金		
100	004901000	國家賠償金	國家賠償金		
100	005000000	災害準備金	災害準備金		
100	005001000	災害準備金	災害準備金		
100	005600000	第二預備金	第二預備金		
100	005601000	第二預備金	第二預備金		
100	007100000	建築及設備	建築及設備		
100	007101000	土地購置	土地購置		
100	007102000	營建工程	營建工程		
100	007103000	交通及運輸設備	交通及運輸設備		
100	007104000	其他設備	其他設備		
100	007200000	交通改善工程	交通改善工程		
100	007201000	交通改善工程	交通改善工程		
100	007500000	道路橋樑工程	道路橋樑工程		
100	007501000	道路及橋樑工程	道路及橋樑工程		
100	007600000	環境衛生及河川工程	環境衛生及河川工程		
100	007601000	衛生下水道工程	衛生下水道工程		
100	007602000	河川工程	河川工程		
100	007603000	垃圾處理工程	垃圾處理工程		
100	007604000	水土保持工程	水土保持工程		
100	007605000	雨水下水道工程	雨水下水道工程		
100	007700000	公園綠化及風景區工程	公園綠化及風景區工程		
100	007701000	公園及綠化工程	公園及綠化工程		
100	007703000	風景區設施工程	風景區設施工程		
100	007704000	山坡地遊憩設施工程	山坡地遊憩設施工程		
100	007800000	路燈工程	路燈工程		
100	007801000	路燈整建及新設工程	路燈整建及新設工程		
100	007900000	臺北水源特定區設施	臺北水源特定區設施		
100	007901000	臺北水源特定區設施	臺北水源特定區設施		
100	008000000	捷運系統工程	捷運系統工程		
100	008001000	捷運系統工程	捷運系統工程		
100	008200000	用地補償	用地補償		
100	008201000	公共用地補償	公共用地補償		
100	008300000	接受補助建設支出	接受補助建設支出		
100	008301000	接受中央政府補助建設支出	接受中央政府補助建設支出		
100	008302000	接受中央各部會補助建設支出	接受中央各部會補助建設支出		
100	008400000	纜車系統	纜車系統	0970802	BGT
100	008401000	貓空纜車系統	貓空纜車系統	0970802	BGT
100	009000000	營業基金	營業基金		
100	009001000	動產質借處資本	動產質借處資本		
100	009002000	公共汽車管理處資本	公共汽車管理處資本		
100	009003000	臺北大眾捷運股份有限公司資本	臺北大眾捷運股份有限公司資本		
100	009004000	臺北自來水事業處資本	臺北自來水事業處資本		
100	009005000	臺北都會區大眾捷運系統土地開發基金資本	臺北都會區大眾捷運系統土地開發		
100	009100000	作業基金	作業基金		
100	009101000	公教人員購置住宅貸款基金	公教人員購置住宅貸款基金		
100	009102000	市有財產開發基金	市有財產開發基金		
100	009103000	共同管道基金	共同管道基金		
100	009104000	醫療基金	醫療基金		
100	009105000	實施平均地權基金	實施平均地權基金		
100	009106000	住宅基金	住宅基金	0990628	BGT
100	009107000	收費停車場基金	收費停車場基金		
100	009108000	都市更新基金	都市更新基金		
100	009109000	市場發展基金	市場發展基金		
100	009110000	臺北市臺北藝術中心基金	臺北市臺北藝術中心基金		
100	009111000	臺北市文化設施發展基金	臺北市文化設施發展基金	0970717	BGT
100	009112000	臺北市社會福利發展基金	臺北市社會福利發展基金	0970717	BGT
100	009113000	校務發展基金	校務發展基金	0970717	BGT
100	009200000	投資支出	投資支出		
100	009201000	臺灣電力公司股金	臺灣電力公司股金		
100	009202000	臺北畜產運銷公司股金	臺北畜產運銷公司股金		
100	009203000	臺北漁產運銷公司股金	臺北漁產運銷公司股金		
100	009204000	臺灣肥料公司股金	臺灣肥料公司股金		
100	009205000	臺北農產公司股金	臺北農產公司股金		
100	009206000	臺大創新育成公司股金	臺大創新育成公司股金		
100	009207000	桃園大眾捷運股份有限公司股金	桃園大眾捷運股份有限公司股金	0990402	BGT
101	000100000	一般行政	一般行政		
100	10	一般政務支出			
100	11	政權行使支出			
100	12	行政支出			
100	13	民政支出			
100	14	財務支出			
100	20	教育科學文化支出			
100	21	教育支出			
100	22	文化支出			
100	30	經濟發展支出			
100	31	農業支出			
100	32	工業支出			
100	33	交通支出			
100	34	其他經濟服務支出			
100	40	社會福利支出			
100	41	社會保險支出			
100	42	社會救助支出			
100	43	福利服務支出			
100	44	國民就業支出			
100	45	醫療保健支出			
100	50	社區發展及環境保護支出			
100	51	社區發展支出			
100	52	環境保護支出			
100	60	退休撫卹支出	退休撫卹支出	0970802	BGT
100	61	退休撫卹支出	退休撫卹支出	0991220	BGT
100	70	警政支出			
100	71	警政支出			
100	80	債務支出			
100	81	債務付息支出			
100	82	還本付息事務支出			
100	90	其他支出			
100	91	其他支出			
100	92	第二預備金			
101	000101000	行政管理	行政管理		
101	002300000	地籍管理	地籍管理		
101	002301000	土地登記測量管理	土地登記測量管理		
101	002302000	地籍登記測量及管理	地籍登記測量及管理		
101	002303000	地籍測量	地籍測量		
101	002500000	衛生業務	衛生業務		
101	002501000	公共衛生	公共衛生		
101	002600000	訓練業務	訓練業務		
101	002601000	在職訓練	在職訓練		
101	002602000	在職研習	在職研習		
101	002700000	兒童托養業務	兒童托養業務		
101	002701000	兒童調查及管理	兒童調查及管理		
101	002800000	區政業務	區政業務		
101	002801000	區政管理	區政管理		
101	003200000	戶政業務	戶政業務		
101	003201000	戶籍業務	戶籍業務		
101	003202000	戶籍登記及管理	戶籍登記及管理		
101	003300000	垃圾焚化業務	垃圾焚化業務		
101	003301000	焚化規劃及操作	焚化規劃及操作		
101	003400000	公共關係業務	公共關係業務		
101	003401000	公共關係	公共關係		
101	003500000	院民教養	院民教養		
101	003501000	院民社會工作	院民社會工作		
101	003504000	敬老所管理	敬老所管理		
101	003600000	保健醫療業務	保健醫療業務		
101	003601000	保健醫療	保健醫療		
101	003700000	債務付息	債務付息		
101	003701000	債務付息	債務付息		
101	003800000	債務管理	債務管理		
101	003801000	債務管理	債務管理		
101	003900000	接受補助業務支出	接受補助業務支出		
101	003901000	接受中央政府補助業務支出	接受中央政府補助業務支出		
101	003902000	接受中央各部會補助業務支出	接受中央各部會補助業務支出		
101	004100000	第一預備金	第一預備金		
101	004101000	第一預備金	第一預備金		
101	004200000	公務人員退休及撫卹給付	公務人員退休及撫卹給付		
101	004201000	公務人員退休及撫卹給付	公務人員退休及撫卹給付		
101	004300000	公務人員福利互助補助	公務人員福利互助補助		
101	004301000	公務人員福利互助補助	公務人員福利互助補助		
101	004400000	公務人員(工)待遇準備	公務人員(工)待遇準備		
101	004401000	公務人員(工)待遇準備	公務人員(工)待遇準備		
101	004900000	國家賠償金	國家賠償金		
101	004901000	國家賠償金	國家賠償金		
101	005000000	災害準備金	災害準備金		
101	005001000	災害準備金	災害準備金		
101	005600000	第二預備金	第二預備金		
101	005601000	第二預備金	第二預備金		
101	007100000	建築及設備	建築及設備		
101	007101000	土地購置	土地購置		
101	007102000	營建工程	營建工程		
101	007103000	交通及運輸設備	交通及運輸設備		
101	007104000	其他設備	其他設備		
101	007200000	交通改善工程	交通改善工程		
101	007201000	交通改善工程	交通改善工程		
