FY	ORG_NO	ORG_NAME	ORG_SN	ORG_ENAME	ORG_ESN	ORG_SID	ORG_LV	ORG_TYPE	ORG_KIND	PROPERTY	BUS_TYPE	PRINT_SEQ	PRINT_SEQH	HORG_NO	DEL_FLAG	ORG_SUMNO	ORG_PROPERTY	ORG_GETNO	ORG_METNO
101	21	營業基金	營業基金			21	0	2	0	1			0	21	0				
101	210401	臺北市動產質借處	臺北市動產質借處			210401	2	2	1	1				210401	0	21	H	21	02
101	210801	臺北大眾捷運股份有限公司	臺北大眾捷運股份有限公司			210801	2	2	1	1				210801	0	21	G	21	04
101	212101	臺北自來水事業處	臺北自來水事業處			212101	2	2	1	1				212101	0	21	D	21	02
101	212901	臺北都會區大眾捷運系統土地開發基金	臺北都會區大眾捷運系統土地開發基金			212901	2	2	1	1				212901	0	21	I	21	04
101	32	作業基金	作業基金			32	0	3	0	1				32	0				
101	320201	臺北市輔助公教人員購置住宅貸款基金	臺北市輔助公教人員購置住宅貸款基金			320201	2	3	1	1				320201	0	32		32	01
101	320401	臺北市市有財產開發基金	臺北市市有財產開發基金			320401	2	3	1	1				320401	0	32		32	02
101	320501	臺北市立教育大學校務發展基金	臺北市立教育大學校務發展基金			320501	2	3	1	1				320501	0	32		32	03
101	320502	臺北市立體育學院校務發展基金	臺北市立體育學院校務發展基金			320502	2	3	1	1				320502	0	32		32	03
101	320601	臺北市市場發展基金	臺北市市場發展基金			320601	2	3	1	1				320601	0	32		32	02
101	320701	臺北市共同管道基金	臺北市共同管道基金			320701	2	3	1	1				320701	0	32		32	06
101	320801	臺北市公有收費停車場基金	臺北市公有收費停車場基金			320801	2	3	1	1				320801	0	32		32	04
101	320901	臺北市社會福利發展基金	臺北市社會福利發展基金			320901	2	3	1	1				320901	0	32		32	01
101	321201	臺北市立聯合醫院醫療基金	臺北市立聯合醫院醫療基金			321201	2	3	1	1				321201	0	32		32	05
101	321401	臺北市住宅基金	臺北市住宅基金			321401	2	3	1	1				321401	0	32		32	06
101	321402	臺北市都市更新基金	臺北市都市更新基金			321402	2	3	1	1				321402	0	32		32	06
101	321502	臺北市文化設施發展基金	臺北市文化設施發展基金			321502	2	3	1	1				321502	0	32		32	03
101	321901	臺北市實施平均地權基金	臺北市實施平均地權基金			321901	2	3	1	1				321901	0	32		32	01
101	43	債務基金	債務基金			43	0	4	0	1				43	0				
101	430401	臺北市債務基金	臺北市債務基金			430401	2	4	1	1				430401	0	43		43	02
101	44	特別收入基金	特別收入基金			44	0	4	0	1				44	0				
101	440401	臺北市土地重劃抵費地出售盈餘款基金	臺北市土地重劃抵費地出售盈餘款基金			440401	2	4	2	1				440401	0	44		44	02
101	440501	臺北市地方教育發展基金	臺北市地方教育發展基金			440501	2	4	1	1				440501	0	44		44	03
101	440602	臺北市農業發展基金	臺北市農業發展基金				2	4	1			0	0			44		44	02
101	440603	臺北市溫泉資源管理基金	臺北市溫泉資源管理基金				2	4	1			0	0			44		44	02
101	440604	臺北市產業發展基金	臺北市產業發展基金				2	4	1			0	0			44		44	02
101	440701	臺北市道路基金	臺北市道路基金				2	4	1			0	0			44		44	06
101	440901	臺北市公益彩券盈餘分配基金	臺北市公益彩券盈餘分配基金				2	4	1			0	0			44		44	01
101	441001	臺北市勞工權益基金	臺北市勞工權益基金				2	4	1			0	0			44		44	01
101	441002	臺北市身心障礙者就業基金	臺北市身心障礙者就業基金				2	4	1			0	0			44		44	01
101	441301	臺北市環境保護基金	臺北市環境保護基金				2	4	3			0	0			44		44	05
101	441401	臺北市國民住宅管理維護基金	臺北市國民住宅管理維護基金				2	4	1			0	0			44		44	06
101	441402	臺北市建築物無障礙設備與設施改善基金	臺北市建築物無障礙設備與設施改善基金				2	4	1			0	0			44		44	06
101	441501	臺北市公共藝術基金	臺北市公共藝術基金				2	4	1			0	0			44		44	03
101	442901	臺北市臺北都會區捷運固定資產重置基金	臺北市臺北都會區捷運固定資產重置基金				2	4	1			0	0			44		44	04
101	2104	財政局主管	財政局主管			2104	1	2	2	1				2104	0			21	
101	2108	交通局主管	交通局主管			2108	1	2	2	1				2108	0			21	
101	2121	臺北自來水事業處主管	臺北自來水事業處主管			2121	1	2	2	1				2121	0			21	
101	2129	捷運工程局主管	捷運工程局主管			2129	1	2	2	1				2129	0			21	
101	3202	人事處主管	人事處主管			3202	1	3	2	1				3202	0			32	
101	3204	財政局主管	財政局主管			3204	1	3	2	1				3204	0			32	
101	3205	教育局主管	教育局主管			3205	1	3	2	1				3205	0			32	
101	3206	產業發展局主管	產業發展局主管			3206	1	3	2	1				3206	0			32	
101	3207	工務局主管	工務局主管			3207	1	3	2	1				3207	0			32	
101	3208	交通局主管	交通局主管			3208	1	3	2	1				3208	0			32	
101	3209	社會局主管	社會局主管			3209	1	3	2	1				3209	0			32	
101	3212	衛生局主管	衛生局主管			3212	1	3	2	1				3212	0			32	
101	3214	都市發展局主管	都市發展局主管			3214	1	3	2	1				3214	0			32	
101	3215	文化局主管	文化局主管			3215	1	3	2	1				3215	0			32	
101	3219	地政局主管	地政局主管			3219	1	3	2	1				3219	0			32	
101	4304	財政局主管	財政局主管			4304	1	4	2	1				4304	0			43	
101	4404	財政局主管	財政局主管			4404	1	4	1	1				4404	0			44	
101	4405	教育局主管	教育局主管			4405	1	4	1	1				4405	0			44	
101	4406	產業發展局主管	產業發展局主管				1	4	2			0	0					44	
101	4407	工務局主管	工務局主管				1	4	2			0	0					44	
101	4409	社會局主管	社會局主管				1	4	2			0	0					44	
101	4410	勞工局主管	勞工局主管				1	4	2			0	0					44	
101	4413	環境保護局主管	環境保護局主管				1	4	2			0	0					44	
101	4414	都市發展局主管	都市發展局主管				1	4	2			0	0					44	
101	4415	文化局主管	文化局主管				1	4	2			0	0					44	
101	4429	捷運工程局主管	捷運工程局主管				1	4	2			0	0					44	
