pageno	times	org1	pdept	bgtyy	org	item	srcid	workid	obj	seq	sexual	sextitle	sexamt	sexlamt	stdcd	una1	cqty1	una2	cqty2	una3	cqty3	una4	cqty4	pqty	prc	preamt	amt	lawamt	lamt	amt1	amt2	note	udept	ocd1	ocd2	mcd	acd	kort	eno	pmnote	bystd	statcd	bybase	newitem	sno	hticode	pticode	mticode	sysdat	usno
7-2-85	0	07102		101	07102	2	317103000		0305	004			0	0		輛	4		0		0		0	4.00	540000	5400000	2160000	2160000	0	0	0	新購客貨兩用車(汰換1996年購置CJ-2143小客車、CN-4952小貨車、CN-4953小貨車、汰換工管費1993購置AD-8810)								核實增列	0	350	320	0	0003	0	0	0	1000822	BGT
12-4-24	0	12113		101	12113	2	457103000		0305	001			0	0		輛	1		0		0		0	1.00	540000	540000	540000	540000	0	0	0	新購客貨兩用車。								為民服務及辦理各項活動覈實編列。		350	320	0	0001				1000410	BGT
16-1-151	0	16101		101	16101	2	137103000		0305	002	'		0	0		輛	1		0		0		0	1.00	700000	0	700000	700000	0	0	0	新購副首長座車1輛。								汰舊換新	0	352	320	0	0001	0	0	0	1000727	BGT
16-1-151	0	16101		101	16101	2	137103000		0305	003			0	0		輛	3		0		0		0	3.00	650000	1950000	1950000	1950000	0	0	0	新購消防查察車3輛。								業務需要	0	352	320	0	0002				1000626	BGT
16-1-152	0	16101		101	16101	2	137103000		0305	011			0	0		輛	1		0		0		0	1.00	2800000	2800000	2800000	2800000	0	0	0	新購大型警備車1輛。								業務需要	0	352	320	0	0010	0	0	0	1000805	BGT
19-8-42	0	19116		101	19116	2	137103000		0305	001			0	0	0205	輛	1		0		0		0	1.00	520000	0	520000	520000	520000	0	0	新購5人座客貨兩用車1輛。									1	350	320	0	0001				1000805	BGT
